"mp_identifier";"mention_id";"relation";"description";"pos";"term_id";"dep_rel";"constituent_head";"docid";"gender_pron";"gender_api";"alias";"fullname";"ne_identifier"
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_760";"label";"de";"det";"t_760";"head";"t_760";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_761";"property";"groot";"adj";"t_761";"head";"t_761";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_762";"label";"ommezwaai";"noun";"t_762";"head";"t_762";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_769";"label";"ze";"pron";"t_769";"head";"t_769";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_777";"agent";"Frans";"name";"t_772";"constituent";"t_771";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_777";"agent";"aflevering";"noun";"t_776";"constituent";"t_773";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_777";"agent";"dat";"comp";"t_778";"hd/vc";"t_778";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_777";"agent";"de";"det";"t_774";"constituent";"t_773";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_777";"agent";"haar";"det";"t_770";"constituent";"t_771";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_777";"agent";"in";"prep";"t_773";"hd/mod";"t_773";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_777";"agent";"laat";"adj";"t_775";"constituent";"t_773";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_777";"agent";"stoppen";"verb";"t_781";"constituent";"t_778";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_777";"agent";"vader";"noun";"t_771";"hd/obj2";"t_771";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_777";"agent";"vertellen";"verb";"t_777";"head";"t_777";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_777";"agent";"willen";"verb";"t_780";"constituent";"t_778";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_777";"agent";"ze";"pron";"t_779";"constituent";"t_778";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_779";"label";"ze";"pron";"t_779";"head";"t_779";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_780";"agent";"stoppen";"verb";"t_781";"hd/vc";"t_781";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_780";"agent";"willen";"verb";"t_780";"head";"t_780";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_780";"agent";"ze";"pron";"t_779";"constituent";"t_781";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_781";"agent";"stoppen";"verb";"t_781";"head";"t_781";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_942";"label";"de";"det";"t_942";"head";"t_942";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_943";"property";"groot";"adj";"t_943";"head";"t_943";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_944";"label";"ommezwaai";"noun";"t_944";"head";"t_944";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_946";"undergoer";"Saar";"name";"t_951";"constituent";"t_947";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_946";"undergoer";"door";"prep";"t_947";"hd/mod";"t_947";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_946";"undergoer";"het";"det";"t_948";"constituent";"t_947";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_946";"undergoer";"magazine";"noun";"t_950";"constituent";"t_947";"coreferenced_a1111111";"female";NA;NA;NA;NA
"/export/scratch2/home/aggelen/Stereotypes/minimal_example/coreferenced_a1111111t_287";"t_946";"undergoer";"online";"adj";"t_949";"constituent";"t_947";"coreferenced_a1111111";"female";NA;NA;NA;NA
